1129 161
9.998394652945516e-03 -4.064145567069927e-02 0.000000000000000e+00
9.347130382151712e-03 -4.174326991817042e-02 0.000000000000000e+00
8.649635899968316e-03 -4.290090596260856e-02 0.000000000000000e+00
7.902450049352307e-03 -4.411571981932499e-02 0.000000000000000e+00
7.101869877866794e-03 -4.538895172723567e-02 0.000000000000000e+00
6.243940519527304e-03 -4.672176457968218e-02 0.000000000000000e+00
5.324446845413298e-03 -4.811521253163242e-02 0.000000000000000e+00
4.338902808223638e-03 -4.957029382379545e-02 0.000000000000000e+00
3.282541717864767e-03 -5.108793678522679e-02 0.000000000000000e+00
2.150303157630150e-03 -5.266900904426407e-02 0.000000000000000e+00
9.368176322062166e-04 -5.431432665747309e-02 0.000000000000000e+00
-3.636114440799352e-04 -5.602466255572347e-02 0.000000000000000e+00
-1.757028773788157e-03 -5.780075381997132e-02 0.000000000000000e+00
-3.249851539631819e-03 -5.964330746733498e-02 0.000000000000000e+00
-4.848897384170953e-03 -6.155300458202881e-02 0.000000000000000e+00
-6.561416306340884e-03 -6.353050282111368e-02 0.000000000000000e+00
-8.395126799907806e-03 -6.557643746079603e-02 0.000000000000000e+00
-1.035825663585863e-02 -6.769142127697345e-02 0.000000000000000e+00
-1.245958878481913e-02 -6.987604362807802e-02 0.000000000000000e+00
-1.470851310601157e-02 -7.213086915579400e-02 0.000000000000000e+00
-1.711694989431373e-02 -7.445858061002093e-02 0.000000000000000e+00
-1.969594508223163e-02 -7.685958086690421e-02 0.000000000000000e+00
-2.245767825348860e-02 -7.933457520561002e-02 0.000000000000000e+00
-2.541513293678177e-02 -8.188410461901192e-02 0.000000000000000e+00
-2.858223356399257e-02 -8.450864981956423e-02 0.000000000000000e+00
-3.197401153784909e-02 -8.720866625375680e-02 0.000000000000000e+00
-3.560676271702608e-02 -8.998459661772988e-02 0.000000000000000e+00
-3.949820789867477e-02 -9.283688093594157e-02 0.000000000000000e+00
-4.366767048429919e-02 -9.576597040433031e-02 0.000000000000000e+00
-4.813628095422885e-02 -9.877234688795583e-02 0.000000000000000e+00
-5.292721514405995e-02 -1.018565492795393e-01 0.000000000000000e+00
-5.806597179946493e-02 -1.050192075067091e-01 0.000000000000000e+00
-6.358069438488057e-02 -1.082610849011492e-01 0.000000000000000e+00
-6.950254670405756e-02 -1.115831323606148e-01 0.000000000000000e+00
-7.586615962332258e-02 -1.149865611125657e-01 0.000000000000000e+00
-8.271016654659005e-02 -1.184729390742863e-01 0.000000000000000e+00
-9.007784136391581e-02 -1.220443122560113e-01 0.000000000000000e+00
-9.801785546132238e-02 -1.257033532705272e-01 0.000000000000000e+00
-1.065851764441443e-01 -1.294535403977866e-01 0.000000000000000e+00
-1.158421387932373e-01 -1.332993711933135e-01 0.000000000000000e+00
-1.258597285094213e-01 -1.372466148282692e-01 0.000000000000000e+00
-1.367190982239880e-01 -1.413025910168274e-01 0.000000000000000e+00
-1.485132323484071e-01 -1.454764262602881e-01 0.000000000000000e+00
-1.613486018938732e-01 -1.497792211435804e-01 0.000000000000000e+00
-1.753467587779396e-01 -1.542241126640253e-01 0.000000000000000e+00
-1.906459955196249e-01 -1.588262635978519e-01 0.000000000000000e+00
-2.074031622210053e-01 -1.636027770549528e-01 0.000000000000000e+00
-2.257956992817066e-01 -1.685725141760397e-01 0.000000000000000e+00
-2.460239571502184e-01 -1.737557969149844e-01 0.000000000000000e+00
-2.683138626602327e-01 -1.791739796835907e-01 0.000000000000000e+00
-2.929199905426824e-01 -1.848488817018727e-01 0.000000000000000e+00
-3.201291121833693e-01 -1.908020905642839e-01 0.000000000000000e+00
-3.502642709635366e-01 -1.970541931086458e-01 0.000000000000000e+00
-3.836893118856329e-01 -2.036241085593510e-01 0.000000000000000e+00
-4.208135736367424e-01 -2.105289189009916e-01 0.000000000000000e+00
-4.620963891764210e-01 -2.177847517928414e-01 0.000000000000000e+00
-5.080518887102976e-01 -2.254088105647265e-01 0.000000000000000e+00
-5.592575185170190e-01 -2.334206833940149e-01 0.000000000000000e+00
-6.163751267955713e-01 -2.418370956662699e-01 0.000000000000000e+00
-6.801964604247839e-01 -2.506517956945420e-01 0.000000000000000e+00
-7.516978122006402e-01 -2.598135914168629e-01 0.000000000000000e+00
-8.319898125152603e-01 -2.693001466802822e-01 0.000000000000000e+00
-9.220394082206439e-01 -2.794193131477419e-01 0.000000000000000e+00
-1.022497165059694e+00 -2.911916924545807e-01 0.000000000000000e+00
-1.134668881060639e+00 -3.072932411659299e-01 0.000000000000000e+00
-1.260692245919350e+00 -3.320474022661569e-01 0.000000000000000e+00
-1.397420378107123e+00 -3.622211062414794e-01 0.000000000000000e+00
-1.543019465200083e+00 -3.951246358234194e-01 0.000000000000000e+00
-1.697749328247108e+00 -4.306614060692180e-01 0.000000000000000e+00
-1.862182686543886e+00 -4.690502760088755e-01 0.000000000000000e+00
-2.036979231346517e+00 -5.105340456242188e-01 0.000000000000000e+00
-2.222850977266871e+00 -5.553731489853486e-01 0.000000000000000e+00
-2.420562642389882e+00 -6.038459853874264e-01 0.000000000000000e+00
-2.630930467896334e+00 -6.562528296844193e-01 0.000000000000000e+00
-2.854825577609758e+00 -7.129174836741801e-01 0.000000000000000e+00
-3.093176995531397e+00 -7.741895091058161e-01 0.000000000000000e+00
-3.346975504748814e+00 -8.404461845404428e-01 0.000000000000000e+00
-3.617277683165713e+00 -9.120946625759795e-01 0.000000000000000e+00
-3.905210195237573e+00 -9.895741947498614e-01 0.000000000000000e+00
-4.211974305784540e+00 -1.073358507625776e+00 0.000000000000000e+00
-4.538850624853236e+00 -1.163958268383271e+00 0.000000000000000e+00
-4.887204133005627e+00 -1.261923674683440e+00 0.000000000000000e+00
-5.258489558666435e+00 -1.367847131100021e+00 0.000000000000000e+00
-5.654257295873320e+00 -1.482366035741400e+00 0.000000000000000e+00
-6.076160146580660e+00 -1.606165682757054e+00 0.000000000000000e+00
-6.525961278719878e+00 -1.739982335527569e+00 0.000000000000000e+00
-7.005543573598917e+00 -1.884606418172468e+00 0.000000000000000e+00
-7.516920168263660e+00 -2.040885648592996e+00 0.000000000000000e+00
-8.062246304084606e+00 -2.209727970984946e+00 0.000000000000000e+00
-8.643833497029764e+00 -2.392104390008241e+00 0.000000000000000e+00
-9.264166464340374e+00 -2.589051568896718e+00 0.000000000000000e+00
-9.925922013037955e+00 -2.801673560126024e+00 0.000000000000000e+00
-1.063199017648022e+01 -3.031142204120920e+00 0.000000000000000e+00
-1.138549926205907e+01 -3.278695994484921e+00 0.000000000000000e+00
-1.218984631252768e+01 -3.545636997400095e+00 0.000000000000000e+00
-1.304873401267796e+01 -3.833325234760601e+00 0.000000000000000e+00
-1.396621433072026e+01 -4.143170135800744e+00 0.000000000000000e+00
-1.494673724260370e+01 -4.476619488971062e+00 0.000000000000000e+00
-1.599519901904060e+01 -4.835148162182795e+00 0.000000000000000e+00
-1.711697902318702e+01 -5.220251781816082e+00 0.000000000000000e+00
1.842813034658899e-02 -2.255850468790390e-02 0.000000000000000e+00
1.841577340239300e-02 -2.258023489826754e-02 0.000000000000000e+00
1.840254773038077e-02 -2.260349768861057e-02 0.000000000000000e+00
1.838839096075391e-02 -2.262840230078818e-02 0.000000000000000e+00
1.837323701473974e-02 -2.265506500093863e-02 0.000000000000000e+00
1.835701553562789e-02 -2.268360990084292e-02 0.000000000000000e+00
