471 602
1.007626757924965e+00 0.000000000000000e+00 -1.397297514447473e-06
1.017989948407140e+00 0.000000000000000e+00 -1.510912240932293e-06
1.028457467626261e+00 0.000000000000000e+00 -1.572313864973485e-06
1.039030245420207e+00 0.000000000000000e+00 -1.582838852240409e-06
1.049709222831534e+00 0.000000000000000e+00 -1.545394543035815e-06
1.060495352039888e+00 0.000000000000000e+00 -1.464299604844092e-06
1.071389596254346e+00 0.000000000000000e+00 -1.345082740164311e-06
1.082392929575513e+00 0.000000000000000e+00 -1.194249087486303e-06
1.093506336837944e+00 0.000000000000000e+00 -1.019024553357880e-06
1.104730813443550e+00 0.000000000000000e+00 -8.270885520918311e-07
1.116067365196271e+00 0.000000000000000e+00 -6.263053434387290e-07
1.127522260693085e+00 0.000000000000000e+00 -4.238361332516583e-07
1.139091322400948e+00 0.000000000000000e+00 -2.272268017895849e-07
1.150775586683735e+00 0.000000000000000e+00 -4.352784252985688e-08
1.162576099966137e+00 0.000000000000000e+00 1.209207557496860e-07
1.174493918592619e+00 0.000000000000000e+00 2.606564586751531e-07
1.186530108800544e+00 0.000000000000000e+00 3.712253857480834e-07
1.198685746737230e+00 0.000000000000000e+00 4.492761495307278e-07
1.210961918519786e+00 0.000000000000000e+00 4.926160070830654e-07
1.223359720334116e+00 0.000000000000000e+00 5.002301143358016e-07
1.235880258569587e+00 0.000000000000000e+00 4.722656217285019e-07
1.248524649986021e+00 0.000000000000000e+00 4.099831297967450e-07
1.261294021909537e+00 0.000000000000000e+00 3.156786516742179e-07
1.274189512453368e+00 0.000000000000000e+00 1.925797287252447e-07
1.287212270759476e+00 0.000000000000000e+00 4.471972725271891e-08
1.300363457256480e+00 0.000000000000000e+00 -1.232053689236750e-07
1.313644243929319e+00 0.000000000000000e+00 -3.059931549988107e-07
1.327055814595914e+00 0.000000000000000e+00 -4.980993631201430e-07
1.340599365186206e+00 0.000000000000000e+00 -6.938061170438459e-07
1.354276104018970e+00 0.000000000000000e+00 -8.873892771949312e-07
1.368087252072071e+00 0.000000000000000e+00 -1.073280415437921e-06
1.382034043242063e+00 0.000000000000000e+00 -1.246219204502851e-06
1.396117724589454e+00 0.000000000000000e+00 -1.401392354912444e-06
1.410339556566449e+00 0.000000000000000e+00 -1.534555677374586e-06
1.424700813224517e+00 0.000000000000000e+00 -1.642136388306514e-06
1.439202782399806e+00 0.000000000000000e+00 -1.721313395257546e-06
1.453846765875121e+00 0.000000000000000e+00 -1.770073985723748e-06
1.468634079517914e+00 0.000000000000000e+00 -1.787246067592302e-06
1.483570172883456e+00 0.000000000000000e+00 -1.773271742029864e-06
1.498652305818611e+00 0.000000000000000e+00 -1.727774462540951e-06
1.513881837122115e+00 0.000000000000000e+00 -1.652004770162337e-06
1.529260140109381e+00 0.000000000000000e+00 -1.547957020082502e-06
1.544788602580095e+00 0.000000000000000e+00 -1.418293329066324e-06
1.560468626828091e+00 0.000000000000000e+00 -1.266251812779163e-06
1.576301629647992e+00 0.000000000000000e+00 -1.095542383759761e-06
1.592289042339337e+00 0.000000000000000e+00 -9.102336293780131e-07
1.608432310709233e+00 0.000000000000000e+00 -7.146344016639803e-07
1.624732895076019e+00 0.000000000000000e+00 -5.131737347072304e-07
1.641192270277124e+00 0.000000000000000e+00 -3.102825796031110e-07
1.657811925684352e+00 0.000000000000000e+00 -1.102806095257930e-07
1.674593365229500e+00 0.000000000000000e+00 8.272897302472916e-08
1.691538107442793e+00 0.000000000000000e+00 2.649540923334412e-07
1.708647685506099e+00 0.000000000000000e+00 4.329958310684027e-07
1.725923647322422e+00 0.000000000000000e+00 5.839162315911034e-07
1.743367555602600e+00 0.000000000000000e+00 7.152907609873178e-07
1.760980987969693e+00 0.000000000000000e+00 8.252448265936565e-07
1.778765537081010e+00 0.000000000000000e+00 9.124742090572697e-07
1.796722810767322e+00 0.000000000000000e+00 9.762497301514603e-07
1.814854432188374e+00 0.000000000000000e+00 1.016406877625781e-06
1.833165395906989e+00 0.000000000000000e+00 1.033686827759653e-06
1.851654027955657e+00 0.000000000000000e+00 1.028535483941779e-06
1.870321998720545e+00 0.000000000000000e+00 1.002270715870350e-06
1.889170994742931e+00 0.000000000000000e+00 9.566140627940848e-07
1.908202718879364e+00 0.000000000000000e+00 8.936269006953835e-07
1.927418890510223e+00 0.000000000000000e+00 8.156412813426829e-07
1.946821245758900e+00 0.000000000000000e+00 7.251874965255524e-07
1.966411537716343e+00 0.000000000000000e+00 6.249203942534465e-07
1.986191536666686e+00 0.000000000000000e+00 5.175463962796842e-07
2.006163030311262e+00 0.000000000000000e+00 4.057530437059313e-07
2.026327823989163e+00 0.000000000000000e+00 2.921427404424482e-07
2.046687740892988e+00 0.000000000000000e+00 1.791721697578879e-07
2.067244622278628e+00 0.000000000000000e+00 6.909863958668100e-08
2.088000327668210e+00 0.000000000000000e+00 -3.606562312951376e-08
2.108956735045548e+00 0.000000000000000e+00 -1.345904650678405e-07
2.130115741043712e+00 0.000000000000000e+00 -2.250555804642952e-07
2.151479261124596e+00 0.000000000000000e+00 -3.063688207794119e-07
2.173052043632763e+00 0.000000000000000e+00 -3.779168194241174e-07
2.194833251006072e+00 0.000000000000000e+00 -4.391319488889086e-07
2.216824856327914e+00 0.000000000000000e+00 -4.899125964936014e-07
2.239028852216383e+00 0.000000000000000e+00 -5.304692001824470e-07
2.261447250927993e+00 0.000000000000000e+00 -5.613002233924216e-07
2.284082084490229e+00 0.000000000000000e+00 -5.831618377698201e-07
2.306935404836965e+00 0.000000000000000e+00 -5.970324189022739e-07
2.330009283944936e+00 0.000000000000000e+00 -6.040730393733467e-07
2.353305813970555e+00 0.000000000000000e+00 -6.055851906353548e-07
2.376827107387629e+00 0.000000000000000e+00 -6.029669788094622e-07
2.400575297127050e+00 0.000000000000000e+00 -5.976690129988298e-07
2.424552536719646e+00 0.000000000000000e+00 -5.911511555930149e-07
2.448761000443312e+00 0.000000000000000e+00 -5.848412163132212e-07
2.473202883475392e+00 0.000000000000000e+00 -5.800965735451927e-07
2.497880402051144e+00 0.000000000000000e+00 -5.781695740052759e-07
2.522795793628974e+00 0.000000000000000e+00 -5.801774220745072e-07
2.547953768479959e+00 0.000000000000000e+00 -5.870243516475698e-07
2.573354175257911e+00 0.000000000000000e+00 -5.995340326480172e-07
2.598999316302017e+00 0.000000000000000e+00 -6.182956484489190e-07
2.624891515960294e+00 0.000000000000000e+00 -6.436962770389688e-07
2.651033120758000e+00 0.000000000000000e+00 -6.759181482146322e-07
2.677426499600295e+00 0.000000000000000e+00 -7.149413931902828e-07
2.704074043987159e+00 0.000000000000000e+00 -7.605519405446326e-07
2.730978168237299e+00 0.000000000000000e+00 -8.123541122996417e-07
2.758141309718819e+00 0.000000000000000e+00 -8.697873661705482e-07
2.785565929085360e+00 0.000000000000000e+00 -9.321465596195402e-07
2.813254510516921e+00 0.000000000000000e+00 -9.986050531042914e-07
2.841209561964628e+00 0.000000000000000e+00 -1.068239933710416e-06
2.869433615398740e+00 0.000000000000000e+00 -1.140058621195008e-06
2.897931379702731e+00 0.000000000000000e+00 -1.213040382870052e-06
2.926703300225468e+00 0.000000000000000e+00 -1.286134942517800e-06
2.955751982633520e+00 0.000000000000000e+00 -1.358301899952597e-06
2.985080057664068e+00 0.000000000000000e+00 -1.428536629321993e-06
3.014690181350322e+00 0.000000000000000e+00 -1.495893573533403e-06
3.044585035268519e+00 0.000000000000000e+00 -1.559507152497369e-06
3.074767326788682e+00 0.000000000000000e+00 -1.618609874803623e-06
3.105239789326419e+00 0.000000000000000e+00 -1.672547332998104e-06
3.136005182594150e+00 0.000000000000000e+00 -1.720789852817947e-06
3.167066292851194e+00 0.000000000000000e+00 -1.762940656225507e-06
3.198425933152598e+00 0.000000000000000e+00 -1.798740491394749e-06
3.230086943596837e+00 0.000000000000000e+00 -1.828068762995023e-06
3.262054117519118e+00 0.000000000000000e+00 -1.850977661668193e-06
3.294328439296697e+00 0.000000000000000e+00 -1.867572442449360e-06
3.326912831757295e+00 0.000000000000000e+00 -1.878120866313158e-06
3.359810245791855e+00 0.000000000000000e+00 -1.883002686393339e-06
