# #"Time" "KineticEnergy" "SolenoidalDissipation" "DilatationalDissipation""
2.299999999999999822e+00 1.272642754890024597e-01 7.821143648959696546e-04 4.616650104028638380e-04
2.350000000000000089e+00 1.271803715760260745e-01 7.956662612054496257e-04 4.697932434668764673e-04
2.399999999999999911e+00 1.270883190870285007e-01 8.099968825662508774e-04 4.775265043112449266e-04
2.450000000000000178e+00 1.269897979042678982e-01 8.251103580286726739e-04 4.849870706959627390e-04
2.500000000000000000e+00 1.268860174077749148e-01 8.409614382688887241e-04 4.883206021799705882e-04
2.549999999999999822e+00 1.267805603480338938e-01 8.574755908194929511e-04 4.872451719860546038e-04
2.600000000000000089e+00 1.266775924649089502e-01 8.746641746922395556e-04 4.859205666598864228e-04
2.649999999999999911e+00 1.265808420208841545e-01 8.924650315050966553e-04 4.836449025659821641e-04
2.700000000000000178e+00 1.264937537349015428e-01 9.107450592676177457e-04 4.799927583262324237e-04
2.750000000000000000e+00 1.264199689096957568e-01 9.294638317916542733e-04 4.733100225394591839e-04
2.799999999999999822e+00 1.263628009132295726e-01 9.485254921126179926e-04 4.649544491161592547e-04
2.850000000000000089e+00 1.263244795028865275e-01 9.679306954839267266e-04 4.554750161871313867e-04
2.899999999999999911e+00 1.263061203057319060e-01 9.875747685213574073e-04 4.453025103449355956e-04
2.950000000000000178e+00 1.263077358057349830e-01 1.007504563005175461e-03 4.343586634691339390e-04
3.000000000000000000e+00 1.263285110448300885e-01 1.027673665554262742e-03 4.227206973589490882e-04
3.049999999999999822e+00 1.263671498071402277e-01 1.048133585753850726e-03 4.101825518073979357e-04
3.100000000000000089e+00 1.264223494505882228e-01 1.068957992502022562e-03 3.970799338527954917e-04
3.149999999999999911e+00 1.264929629640281217e-01 1.090323347399011281e-03 3.831185304573737189e-04
3.200000000000000178e+00 1.265782055784761828e-01 1.112287853756453769e-03 3.690944834106136630e-04
3.250000000000000000e+00 1.266774032865464750e-01 1.135190651428420001e-03 3.561308401533402022e-04
3.299999999999999822e+00 1.267895309536158921e-01 1.159170664232224294e-03 3.453985942026600192e-04
3.350000000000000089e+00 1.269122221497446246e-01 1.184361817376688129e-03 3.367454440409783055e-04
3.399999999999999911e+00 1.270419914788007698e-01 1.210821766527369519e-03 3.300516164128203516e-04
3.450000000000000178e+00 1.271751070521026927e-01 1.238673242779914259e-03 3.258184946779161596e-04
3.500000000000000000e+00 1.273074500120431052e-01 1.268002131099346935e-03 3.244504084775689883e-04
3.549999999999999822e+00 1.274338932938128832e-01 1.298803896632976700e-03 3.246753433173056461e-04
3.600000000000000089e+00 1.275493072978407250e-01 1.331031105559784752e-03 3.262216123556252651e-04
3.649999999999999911e+00 1.276490670340508227e-01 1.364515177656896528e-03 3.282355514567345694e-04
3.700000000000000178e+00 1.277294123757630462e-01 1.398974859663751086e-03 3.303910599778406483e-04
3.750000000000000000e+00 1.277871669349819328e-01 1.434088157475460219e-03 3.332636589407455391e-04
